DIST,LAT,LONG
JAISALMER,70.91,26.91
BARMER,71.4,25.74
JALOR,72.62,25.35
DUNGARPUR,73.71,23.85
JHALAWAR,76.15,24.6
BARAN,76.52,25.1
BUNDI,75.64,25.44
TONK,75.79,26.16
BHILWARA,74.64,25.35
NAGAUR,73.74,27.2
JODHPUR,73.04,26.3
BIKANER,73.32,28.02
CHURU,74.97,28.3
JHUNJHUNUN,75.4,28.13
SIKAR,75.14,27.61
DHAULPUR,77.9,26.7
HANUMANGARH,74.33,29.58
AJMER,74.64,26.47
CHITTAURGARH,74.62,24.88
RAJSAMAND,73.89,25.06
BHARATPUR,84.43,27.68
ALWAR,76.61,27.56
DAUSA,76.34,26.89
PALI,73.33,25.77
UDAIPUR,73.69,24.58
SIROHI,72.86,24.89
JAIPUR,75.82,26.92
KARAULI,77.03,26.5
SAWAI MADHOPUR,76.35,26.02
KOTA,75.86,25.17
BANSWARA,74.45,23.55
PRATAPGARH,82,25.92
GANGANAGAR,73.8772,29.9038
